week,location,average_price
28/11/2015,166.82(167.24),145.05(135.17)
21/11/2015,163.09(170.68),142.01(135.26)
14/11/2015,166.10(166.21),147.77(140.02)
07/11/2015,162.96(160.72),141.44(137.12)
31/10/2015,162.19(157.87),140.67(136.53)
24/10/2015,NS(160.08),NS(136.61)
17/10/2015,166.09(158.94),141.19(136.21)
10/10/2015,170.22(157.68),141.69(135.47)
03/10/2015,161.98(NS),145.55(NS)
26/09/2015,166.49(156.25),146.99(137.65)
19/09/2015,171.09(161.86),144.87(135.79)
12/09/2015,173.65(157.53),144.82(141.95)
05/09/2015,175.42(161.33),150.88(140.90)
29/08/2015,180.25(165.44),153.40(145.57)
22/08/2015,184.63(168.47),152.88(147.00)
15/08/2015,180.80(173.18),152.82(151.07)
08/08/2015,179.62(177.98),152.66(152.87)
01/08/2015,185.04(182.03),153.82(158.66)
25/07/2015,188.24(189.71),158.17(162.38)
18/07/2015,187.30(194.77),151.78(165.70)
11/07/2015,175.88(202.58),155.38(174.09)
04/07/2015,176.00(201.42),154.13(174.21)
27/06/2015,182.95(196.17),153.65(177.25)
20/06/2015,176.61(180.30),154.13(174.21)
13/06/2015,168.20(170.82),151.38(171.56)
06/06/2015,164.97(167.12),149.28(163.40)
30/05/2015,168.90(166.37),144.55(163.52)
23/05/2015,159.95(167.64),145.98(160.86)
16/05/2015,171.11(174.58),143.62(158.44)
09/05/2015,164.59(173.37),149.15(164.90)
02/05/2015,163.28(179.27),148.46(166.36)
25/04/2015,175.14(175.80),121.14(159.79)
18/04/2015,115.72(140.88),157.02(141.13)
11/04/2015,109.22(163.20),138.56(164.11)
04/04/2015,NS(121.38),91.65(132.04)
28/03/2015,85.53(113.34),NS(91.12)
21/03/2015,NS(NS),NS(NS)
14/03/2015,94.69 (NS),104.98 (NS)
07/03/2015,86.73(112.86),109.92(109.50)
28/02/2015,96.04(NS),104.10(NS)
21/02/2015,111.80(115.00),102.70(115.07)
14/02/2015,122.72(116.50),101.12(110.58)
07/02/2015,125.09(120.69),100.35(105.05)
31/01/2015,132.84(120.14),105.45(107.46)
24/01/2015,136.57(125.37),108.62(107.90)
17/01/2015,144.22(130.64),122.68(107.93)
10/01/2015,146.27(136.34),113.60(113.41)
03/01/2015,151.02(145.28),119.22(116.98)
31/12/2016,NS(150.97),128.12(125.97)
24/12/2016,157.37(160.32),131.52(135.32)
17/12/2016,161.22(164.17),130.62(134.52)
17/12/2016,161.22(164.17),130.62(134.52)
10/12/2016,159.70(163.93),134.02(133.65)
03/12/2016,162.27(164.14),133.81(137.19)
26/11/2016,164.35(166.82),138.21(145.05)
19/11/2016,164.10(163.09),137.29(142.01)
12/11/2016,163.55(166.10),139.22(147.77)
05/11/2016,160.73(162.96),137.41(141.44)
29/10/2016,159.27(162.19),138.31(140.67)
22/10/2016,161.15(NS),140.71(NS)
15/10/2016,NS(166.09),NS(141.20)
08/10/2016,155.68(170.22),139.25(141.69)
01/10/2016,162.03(161.98),138.97(145.55)
24/09/2016,160.50(166.49),139.63(146.99)
17/09/2016,162.58(171.09),138.37(144.87)
10/09/2016,163.36(173.65),140.32(144.82)
09/03/2016,165.61(175.42),141.60150.88)
